"","Seazon","Number","Title","Rating","Votes","Duration","Cast"
"1",1,1,"Spadek",8.5,837,49,"Lucy Wilska | Wójt Paweł Kozioł / Ksiądz Piotr Kozioł | Jakub ""Kusy"" Sokołowski | Andrzej Więcławski | Jan Japycz | Tadeusz Hadziuk | Patryk Pietrek | Halina Kozioł, żona wójta | Barmanka Wioletka Kotecka | Policjant Stasiek Kotecki | Zofia Steć, babka zielarka"
"2",1,2,"Goście z zaświatów",8.6,734,49,"Lucy Wilska | Wójt Paweł Kozioł / Ksiądz Piotr Kozioł | Jakub ""Kusy"" Sokołowski | Andrzej Więcławski | Klaudia Kozioł, córka senatora | Wiesława Oleś, dyrektorka szkoły | Halina Kozioł, żona wójta | Jan Japycz | Tadeusz Hadziuk | Maciej Solejuk | Patryk Pietrek | Barmanka Wioletka Kotecka | Michałowa, gospodyni księdza"
"3",1,3,"Ksiądz z inicjatywą",8.6,684,48,"Lucy Wilska | Wójt Paweł Kozioł / Ksiądz Piotr Kozioł | Jakub ""Kusy"" Sokołowski | Halina Kozioł, żona wójta | Wiesława Oleś, dyrektorka szkoły | Patryk Pietrek | Andrzej Więcławski | Michałowa, gospodyni księdza | Jan Japycz | Maciej Solejuk | Marianek Solejuk"
"4",1,4,"Otrzeźwienie",8.5,668,48,"Lucy Wilska | Wójt Paweł Kozioł / Ksiądz Piotr Kozioł | Jakub ""Kusy"" Sokołowski | Jan Japycz | Tadeusz Hadziuk | Patryk Pietrek | Klaudia Kozioł, córka senatora | Halina Kozioł, żona wójta | Kazimiera Solejukowa | Michałowa, gospodyni księdza | Policjant Stasiek Kotecki | Barmanka Wioletka Kotecka | Polonista Tomasz Witebski | Zofia Steć, babka zielarka | Maciej Solejuk | Andrzej Więcławski | Wiesława Oleś, dyrektorka szkoły | Celina Hadziukowa | Marianek Solejuk | Szymek Solejuk | Kasia Solejuk | Krystyna Więcławska"
"5",1,5,"Wieść gminna",8.5,658,49,"Lucy Wilska | Wójt Paweł Kozioł / Ksiądz Piotr Kozioł | Jakub ""Kusy"" Sokołowski | Polonista Tomasz Witebski | Arkadiusz Czerepach | Michałowa, gospodyni księdza | Jan Japycz | Tadeusz Hadziuk | Patryk Pietrek | Barmanka Wioletka Kotecka | Doktor Mieczysław Wezół | Policjant Stasiek Kotecki | Zofia Steć, babka zielarka | Marianek Solejuk | Szymek Solejuk"
"6",1,6,"Racja gminy",8.5,640,50,"Lucy Wilska | Wójt Paweł Kozioł / Ksiądz Piotr Kozioł | Jakub ""Kusy"" Sokołowski | Polonista Tomasz Witebski | Policjant Stasiek Kotecki | Halina Kozioł, żona wójta | Klaudia Kozioł, córka senatora | Michałowa, gospodyni księdza | Patryk Pietrek | Arkadiusz Czerepach | Jan Japycz | Tadeusz Hadziuk | Barmanka Wioletka Kotecka | Marianek Solejuk | Szymek Solejuk"
"7",1,7,"Podwójny agent",8.6,644,49,"Lucy Wilska | Wójt Paweł Kozioł / Ksiądz Piotr Kozioł | Jakub ""Kusy"" Sokołowski | Polonista Tomasz Witebski | Policjant Stasiek Kotecki | Klaudia Kozioł, córka senatora | Barmanka Wioletka Kotecka | Halina Kozioł, żona wójta | Maciej Solejuk | Patryk Pietrek | Tadeusz Hadziuk | Jan Japycz | Arkadiusz Czerepach | Michałowa, gospodyni księdza"
"8",1,8,"Kozy ofiarne",8.5,641,49,"Lucy Wilska | Wójt Paweł Kozioł / Ksiądz Piotr Kozioł | Jakub ""Kusy"" Sokołowski | Halina Kozioł, żona wójta | Klaudia Kozioł, córka senatora | Polonista Tomasz Witebski | Policjant Stasiek Kotecki | Doktor Mieczysław Wezół | Jan Japycz | Patryk Pietrek | Tadeusz Hadziuk | Arkadiusz Czerepach | Celina Hadziukowa | Zofia Steć, babka zielarka | Barmanka Wioletka Kotecka | Marianek Solejuk | Szymek Solejuk"
"9",1,9,"Odwyk i antykoncepcja",8.6,641,48,"Lucy Wilska | Wójt Paweł Kozioł / Ksiądz Piotr Kozioł | Jakub ""Kusy"" Sokołowski | Jan Japycz | Patryk Pietrek | Doktor Mieczysław Wezół | Arkadiusz Czerepach | Polonista Tomasz Witebski | Tadeusz Hadziuk | Barmanka Wioletka Kotecka | Policjant Stasiek Kotecki | Michałowa, gospodyni księdza | Halina Kozioł, żona wójta | Kazimiera Solejukowa | Szymek Solejuk | Krystyna Więcławska | Dorota Wezółowa"
"10",1,10,"Porwanie",8.6,651,49,"Lucy Wilska | Wójt Paweł Kozioł / Ksiądz Piotr Kozioł | Jakub ""Kusy"" Sokołowski | Tadeusz Hadziuk | Maciej Solejuk | Barmanka Wioletka Kotecka | Policjant Stasiek Kotecki | Polonista Tomasz Witebski | Klaudia Kozioł, córka senatora | Doktor Mieczysław Wezół | Kazimiera Solejukowa | Celina Hadziukowa"
"11",1,11,"Wspólny wróg",8.5,629,48,"Lucy Wilska | Wójt Paweł Kozioł / Ksiądz Piotr Kozioł | Jakub ""Kusy"" Sokołowski | Polonista Tomasz Witebski | Kazimiera Solejukowa | Celina Hadziukowa | Policjant Stasiek Kotecki | Maciej Solejuk | Jan Japycz | Patryk Pietrek | Tadeusz Hadziuk | Halina Kozioł, żona wójta | Klaudia Kozioł, córka senatora | Michałowa, gospodyni księdza | Arkadiusz Czerepach | Barmanka Wioletka Kotecka | Szymek Solejuk | Marianek Solejuk | Kasia Solejuk"
"12",1,12,"Honor gminy",8.6,635,48,"Lucy Wilska | Wójt Paweł Kozioł / Ksiądz Piotr Kozioł | Jakub ""Kusy"" Sokołowski | Andrzej Więcławski | Arkadiusz Czerepach | Jan Japycz | Patryk Pietrek | Tadeusz Hadziuk | Michałowa, gospodyni księdza | Polonista Tomasz Witebski | Doktor Mieczysław Wezół | Halina Kozioł, żona wójta | Księgowa Leokadia Czerepach / Księgowa Leokadia Paciorek | Barmanka Wioletka Kotecka"
"13",1,13,"Wielkie wybory",8.8,630,49,"Lucy Wilska | Wójt Paweł Kozioł / Ksiądz Piotr Kozioł | Jakub ""Kusy"" Sokołowski | Halina Kozioł, żona wójta | Wiesława Oleś, dyrektorka szkoły | Klaudia Kozioł, córka senatora | Arkadiusz Czerepach | Jan Japycz | Patryk Pietrek | Tadeusz Hadziuk | Michałowa, gospodyni księdza | Policjant Stasiek Kotecki | Maciej Solejuk | Kazimiera Solejukowa | Celina Hadziukowa | Zofia Steć, babka zielarka | Polonista Tomasz Witebski | Andrzej Więcławski | Szymek Solejuk | Marianek Solejuk"
"14",2,14,"Sztuka i władza",8.6,576,53,"Lucy Wilska | Wójt Paweł Kozioł / Ksiądz Piotr Kozioł | Jakub ""Kusy"" Sokołowski | Michałowa, gospodyni księdza | Arkadiusz Czerepach | Kazimiera Solejukowa | Patryk Pietrek | Maciej Solejuk | Tadeusz Hadziuk | Andrzej Więcławski | Klaudia Kozioł, córka senatora | Księgowa Leokadia Czerepach / Księgowa Leokadia Paciorek | Barmanka Wioletka Kotecka | Jan Japycz | Marianek Solejuk | Kasia Solejuk"
"15",2,15,"Gmina to Ja",8.5,560,48,"Lucy Wilska | Wójt Paweł Kozioł / Ksiądz Piotr Kozioł | Jakub ""Kusy"" Sokołowski | Andrzej Więcławski | Halina Kozioł, żona wójta | Michałowa, gospodyni księdza | Barmanka Wioletka Kotecka | Tadeusz Hadziuk | Maciej Solejuk | Patryk Pietrek | Arkadiusz Czerepach | Jan Japycz | Krystyna Więcławska"
"16",2,16,"Lokalna rewolucja",8.6,557,48,"Lucy Wilska | Wójt Paweł Kozioł / Ksiądz Piotr Kozioł | Jakub ""Kusy"" Sokołowski | Andrzej Więcławski | Patryk Pietrek | Barmanka Wioletka Kotecka | Tadeusz Hadziuk | Jan Japycz | Kazimiera Solejukowa | Maciej Solejuk | Arkadiusz Czerepach | Halina Kozioł, żona wójta | Klaudia Kozioł, córka senatora | Stacho Japycz, mąż Michałowej | Policjant Stasiek Kotecki | Polonista Tomasz Witebski | Doktor Mieczysław Wezół | Michałowa, gospodyni księdza | Szymek Solejuk | Marianek Solejuk | Kasia Solejuk"
"17",2,17,"Honor parafii",8.6,558,48,"Lucy Wilska | Wójt Paweł Kozioł / Ksiądz Piotr Kozioł | Jakub ""Kusy"" Sokołowski | Arkadiusz Czerepach | Fabian Duda | Michałowa, gospodyni księdza | Księgowa Leokadia Czerepach / Księgowa Leokadia Paciorek | Policjant Stasiek Kotecki | Barmanka Wioletka Kotecka | Wiesława Oleś, dyrektorka szkoły | Polonista Tomasz Witebski | Stacho Japycz, mąż Michałowej | Patryk Pietrek | Tadeusz Hadziuk | Maciej Solejuk | Celina Hadziukowa | Krystyna Więcławska"
"18",2,18,"Europejski kandydat",8.6,541,48,"Lucy Wilska | Wójt Paweł Kozioł / Ksiądz Piotr Kozioł | Jakub ""Kusy"" Sokołowski | Arkadiusz Czerepach | Jan Japycz | Stacho Japycz, mąż Michałowej | Maciej Solejuk | Patryk Pietrek | Michałowa, gospodyni księdza | Kazimiera Solejukowa | Tadeusz Hadziuk | Klaudia Kozioł, córka senatora | Doktor Mieczysław Wezół | Fabian Duda | Polonista Tomasz Witebski | Halina Kozioł, żona wójta | Marianek Solejuk | Kasia Solejuk | Dorota Wezółowa | Krystyna Więcławska"
"19",2,19,"Rozwód z miłości",8.5,554,48,"Lucy Wilska | Wójt Paweł Kozioł / Ksiądz Piotr Kozioł | Jakub ""Kusy"" Sokołowski | Andrzej Więcławski | Klaudia Kozioł, córka senatora | Halina Kozioł, żona wójta | Fabian Duda | Tadeusz Hadziuk | Patryk Pietrek | Policjant Stasiek Kotecki | Barmanka Wioletka Kotecka | Michałowa, gospodyni księdza | Krystyna Więcławska"
"20",2,20,"Diabelskie porachunki",8.5,547,47,"Lucy Wilska | Wójt Paweł Kozioł / Ksiądz Piotr Kozioł | Jakub ""Kusy"" Sokołowski | Michałowa, gospodyni księdza | Andrzej Więcławski | Jan Japycz | Stacho Japycz, mąż Michałowej | Maciej Solejuk | Tadeusz Hadziuk | Patryk Pietrek | Klaudia Kozioł, córka senatora | Policjant Stasiek Kotecki | Barmanka Wioletka Kotecka | Halina Kozioł, żona wójta | Fabian Duda | Krystyna Więcławska"
"21",2,21,"Jesienna burza",8.6,538,48,"Lucy Wilska | Wójt Paweł Kozioł / Ksiądz Piotr Kozioł | Jakub ""Kusy"" Sokołowski | Andrzej Więcławski | Michałowa, gospodyni księdza | Stacho Japycz, mąż Michałowej | Doktor Mieczysław Wezół | Fabian Duda | Maciej Solejuk | Halina Kozioł, żona wójta | Tadeusz Hadziuk | Jan Japycz | Patryk Pietrek | Klaudia Kozioł, córka senatora | Celina Hadziukowa | Kazimiera Solejukowa | Dorota Wezółowa"
"22",2,22,"Diler pierogów",8.7,558,48,"Lucy Wilska | Wójt Paweł Kozioł / Ksiądz Piotr Kozioł | Jakub ""Kusy"" Sokołowski | Tadeusz Hadziuk | Patryk Pietrek | Maciej Solejuk | Andrzej Więcławski | Polonista Tomasz Witebski | Stacho Japycz, mąż Michałowej | Halina Kozioł, żona wójta | Celina Hadziukowa | Kazimiera Solejukowa | Klaudia Kozioł, córka senatora | Wiesława Oleś, dyrektorka szkoły | Doktor Mieczysław Wezół | Policjant Stasiek Kotecki | Fabian Duda | Michałowa, gospodyni księdza | Barmanka Wioletka Kotecka | Marianek Solejuk | Kasia Solejuk | Dorota Wezółowa | Krystyna Więcławska"
"23",2,23,"Do dobrego lepiej przymusić",8.5,534,48,"Lucy Wilska | Wójt Paweł Kozioł / Ksiądz Piotr Kozioł | Jakub ""Kusy"" Sokołowski | Stacho Japycz, mąż Michałowej | Patryk Pietrek | Michałowa, gospodyni księdza | Policjant Stasiek Kotecki | Maciej Solejuk | Klaudia Kozioł, córka senatora | Fabian Duda | Tadeusz Hadziuk | Kazimiera Solejukowa | Celina Hadziukowa | Polonista Tomasz Witebski | Księgowa Leokadia Czerepach / Księgowa Leokadia Paciorek | Andrzej Więcławski | Marianek Solejuk | Kasia Solejuk | Krystyna Więcławska"
"24",2,24,"Siła władzy",8.6,534,48,"Lucy Wilska | Wójt Paweł Kozioł / Ksiądz Piotr Kozioł | Jakub ""Kusy"" Sokołowski | Stacho Japycz, mąż Michałowej | Patryk Pietrek | Halina Kozioł, żona wójta | Policjant Stasiek Kotecki | Klaudia Kozioł, córka senatora | Michałowa, gospodyni księdza | Barmanka Wioletka Kotecka | Maciej Solejuk | Tadeusz Hadziuk | Doktor Mieczysław Wezół"
"25",2,25,"Plan awaryjny",8.7,529,48,"Lucy Wilska | Wójt Paweł Kozioł / Ksiądz Piotr Kozioł | Jakub ""Kusy"" Sokołowski | Doktor Mieczysław Wezół | Stacho Japycz, mąż Michałowej | Patryk Pietrek | Tadeusz Hadziuk | Klaudia Kozioł, córka senatora | Barmanka Wioletka Kotecka | Policjant Stasiek Kotecki | Michałowa, gospodyni księdza | Halina Kozioł, żona wójta | Fabian Duda | Andrzej Więcławski | Polonista Tomasz Witebski | Dorota Wezółowa | Krystyna Więcławska"
"26",2,26,"Zgoda po polsku",8.8,537,47,"Lucy Wilska | Wójt Paweł Kozioł / Ksiądz Piotr Kozioł | Jakub ""Kusy"" Sokołowski | Policjant Stasiek Kotecki | Barmanka Wioletka Kotecka | Patryk Pietrek | Tadeusz Hadziuk | Halina Kozioł, żona wójta | Michałowa, gospodyni księdza | Stacho Japycz, mąż Michałowej | Klaudia Kozioł, córka senatora | Andrzej Więcławski | Kazimiera Solejukowa | Maciej Solejuk | Polonista Tomasz Witebski | Doktor Mieczysław Wezół | Celina Hadziukowa | Wiesława Oleś, dyrektorka szkoły | Księgowa Leokadia Czerepach / Księgowa Leokadia Paciorek | Fabian Duda | Dorota Wezółowa"
"27",3,27,"Płomień duży i mały",8.5,516,46,"Lucy Wilska | Wójt Paweł Kozioł / Ksiądz Piotr Kozioł | Jakub ""Kusy"" Sokołowski | Michałowa, gospodyni księdza | Stacho Japycz, mąż Michałowej | Policjant Stasiek Kotecki | Barmanka Wioletka Kotecka | Andrzej Więcławski | Patryk Pietrek | Tadeusz Hadziuk | Maciej Solejuk | Polonista Tomasz Witebski | Kazimiera Solejukowa | Celina Hadziukowa | Księgowa Leokadia Czerepach / Księgowa Leokadia Paciorek | Fabian Duda | Halina Kozioł, żona wójta | Krystyna Więcławska | Dorota Wezółowa"
"28",3,28,"Powrót demona",8.7,512,48,"Lucy Wilska | Wójt Paweł Kozioł / Ksiądz Piotr Kozioł | Jakub ""Kusy"" Sokołowski | Michałowa, gospodyni księdza | Stacho Japycz, mąż Michałowej | Arkadiusz Czerepach | Policjant Stasiek Kotecki | Barmanka Wioletka Kotecka | Patryk Pietrek | Tadeusz Hadziuk | Maciej Solejuk | Polonista Tomasz Witebski | Kazimiera Solejukowa | Celina Hadziukowa | Halina Kozioł, żona wójta | Klaudia Kozioł, córka senatora | Andrzej Więcławski | Księgowa Leokadia Czerepach / Księgowa Leokadia Paciorek | Fabian Duda | Marianek Solejuk | Kasia Solejuk | Syn Solejuków | Krystyna Więcławska"
"29",3,29,"W kleszczach terroru",8.7,510,47,"Lucy Wilska | Wójt Paweł Kozioł / Ksiądz Piotr Kozioł | Jakub ""Kusy"" Sokołowski | Michałowa, gospodyni księdza | Stacho Japycz, mąż Michałowej | Arkadiusz Czerepach | Halina Kozioł, żona wójta | Klaudia Kozioł, córka senatora | Policjant Stasiek Kotecki | Barmanka Wioletka Kotecka | Doktor Mieczysław Wezół | Patryk Pietrek | Tadeusz Hadziuk | Maciej Solejuk | Polonista Tomasz Witebski | Księgowa Leokadia Czerepach / Księgowa Leokadia Paciorek | Fabian Duda | Wiesława Oleś, dyrektorka szkoły | Marianek Solejuk | Kasia Solejuk | Syn Solejuków"
"30",3,30,"Fakt prasowy",8.7,502,47,"Lucy Wilska | Wójt Paweł Kozioł / Ksiądz Piotr Kozioł | Jakub ""Kusy"" Sokołowski | Michałowa, gospodyni księdza | Stacho Japycz, mąż Michałowej | Arkadiusz Czerepach | Kazimiera Solejukowa | Maciej Solejuk | Tadeusz Hadziuk | Patryk Pietrek | Celina Hadziukowa | Policjant Stasiek Kotecki | Barmanka Wioletka Kotecka | Polonista Tomasz Witebski | Halina Kozioł, żona wójta | Zofia Steć, babka zielarka | Księgowa Leokadia Czerepach / Księgowa Leokadia Paciorek | Fabian Duda | Marianek Solejuk | Szymek Solejuk | Kasia Solejuk | Syn Solejuków | Krystyna Więcławska"
"31",3,31,"Radio interaktywne",8.7,513,47,"Lucy Wilska | Wójt Paweł Kozioł / Ksiądz Piotr Kozioł | Jakub ""Kusy"" Sokołowski | Michałowa, gospodyni księdza | Stacho Japycz, mąż Michałowej | Arkadiusz Czerepach | Jola Pietrek | Patryk Pietrek | Halina Kozioł, żona wójta | Polonista Tomasz Witebski | Maciej Solejuk | Tadeusz Hadziuk | Policjant Stasiek Kotecki | Barmanka Wioletka Kotecka | Klaudia Kozioł, córka senatora | Kazimiera Solejukowa | Księgowa Leokadia Czerepach / Księgowa Leokadia Paciorek | Andrzej Więcławski | Marianek Solejuk | Kasia Solejuk | Syn Solejuków | Krystyna Więcławska | Dorota Wezółowa"
"32",3,32,"Wielkie odkrycie",8.6,497,47,"Lucy Wilska | Wójt Paweł Kozioł / Ksiądz Piotr Kozioł | Jakub ""Kusy"" Sokołowski | Michałowa, gospodyni księdza | Stacho Japycz, mąż Michałowej | Maciej Solejuk | Tadeusz Hadziuk | Patryk Pietrek | Policjant Stasiek Kotecki | Barmanka Wioletka Kotecka | Polonista Tomasz Witebski | Andrzej Więcławski | Jola Pietrek | Kazimiera Solejukowa | Doktor Mieczysław Wezół | Księgowa Leokadia Czerepach / Księgowa Leokadia Paciorek | Fabian Duda | Marianek Solejuk | Kasia Solejuk | Syn Solejuków | Krystyna Więcławska | Dorota Wezółowa"
"33",3,33,"Sprawca",8.6,492,47,"Lucy Wilska | Wójt Paweł Kozioł / Ksiądz Piotr Kozioł | Jakub ""Kusy"" Sokołowski | Michałowa, gospodyni księdza | Stacho Japycz, mąż Michałowej | Maciej Solejuk | Tadeusz Hadziuk | Patryk Pietrek | Jola Pietrek | Andrzej Więcławski | Zofia Steć, babka zielarka | Polonista Tomasz Witebski | Kazimiera Solejukowa | Celina Hadziukowa | Doktor Mieczysław Wezół | Policjant Stasiek Kotecki | Barmanka Wioletka Kotecka | Halina Kozioł, żona wójta | Klaudia Kozioł, córka senatora | Księgowa Leokadia Czerepach / Księgowa Leokadia Paciorek | Fabian Duda | Dorota Wezółowa"
"34",3,34,"Odsiecz",8.6,499,47,"Lucy Wilska | Wójt Paweł Kozioł / Ksiądz Piotr Kozioł | Jakub ""Kusy"" Sokołowski | Michałowa, gospodyni księdza | Stacho Japycz, mąż Michałowej | Maciej Solejuk | Tadeusz Hadziuk | Patryk Pietrek | Jola Pietrek | Andrzej Więcławski | Kazimiera Solejukowa | Celina Hadziukowa | Wiesława Oleś, dyrektorka szkoły | Halina Kozioł, żona wójta | Klaudia Kozioł, córka senatora | Zofia Steć, babka zielarka | Polonista Tomasz Witebski | Doktor Mieczysław Wezół | Policjant Stasiek Kotecki | Barmanka Wioletka Kotecka | Księgowa Leokadia Czerepach / Księgowa Leokadia Paciorek | Fabian Duda | Krystyna Więcławska | Dorota Wezółowa | Ksiądz Wikary Robert"
"35",3,35,"Upadek obyczajów",8.6,501,47,"Lucy Wilska | Wójt Paweł Kozioł / Ksiądz Piotr Kozioł | Jakub ""Kusy"" Sokołowski | Michałowa, gospodyni księdza | Stacho Japycz, mąż Michałowej | Halina Kozioł, żona wójta | Maciej Solejuk | Tadeusz Hadziuk | Patryk Pietrek | Krystyna Więcławska | Andrzej Więcławski | Barmanka Wioletka Kotecka | Klaudia Kozioł, córka senatora | Fabian Duda | Zofia Steć, babka zielarka | Polonista Tomasz Witebski | Jola Pietrek"
"36",3,36,"Miedź brzęcząca",8.6,502,48,"Lucy Wilska | Wójt Paweł Kozioł / Ksiądz Piotr Kozioł | Jakub ""Kusy"" Sokołowski | Michałowa, gospodyni księdza | Stacho Japycz, mąż Michałowej | Zofia Steć, babka zielarka | Polonista Tomasz Witebski | Halina Kozioł, żona wójta | Andrzej Więcławski | Tadeusz Hadziuk | Patryk Pietrek | Jola Pietrek | Wiesława Oleś, dyrektorka szkoły | Fabian Duda | Doktor Mieczysław Wezół | Księgowa Leokadia Czerepach / Księgowa Leokadia Paciorek | Klaudia Kozioł, córka senatora | Barmanka Wioletka Kotecka | Policjant Stasiek Kotecki | Kazimiera Solejukowa | Krystyna Więcławska | Dorota Wezółowa"
"37",3,37,"Zrozumieć kobietę",8.6,494,47,"Lucy Wilska | Wójt Paweł Kozioł / Ksiądz Piotr Kozioł | Jakub ""Kusy"" Sokołowski | Michałowa, gospodyni księdza | Stacho Japycz, mąż Michałowej | Halina Kozioł, żona wójta | Klaudia Kozioł, córka senatora | Andrzej Więcławski | Wiesława Oleś, dyrektorka szkoły | Księgowa Leokadia Czerepach / Księgowa Leokadia Paciorek | Polonista Tomasz Witebski | Kazimiera Solejukowa | Celina Hadziukowa | Maciej Solejuk | Tadeusz Hadziuk | Patryk Pietrek | Fabian Duda | Zofia Steć, babka zielarka | Jola Pietrek | Doktor Mieczysław Wezół | Policjant Stasiek Kotecki | Barmanka Wioletka Kotecka | Ksiądz Wikary Robert | Krystyna Więcławska"
"38",3,38,"Złoty deszcz",8.6,491,47,"Lucy Wilska | Wójt Paweł Kozioł / Ksiądz Piotr Kozioł | Jakub ""Kusy"" Sokołowski | Michałowa, gospodyni księdza | Stacho Japycz, mąż Michałowej | Tadeusz Hadziuk | Fabian Duda | Klaudia Kozioł, córka senatora | Polonista Tomasz Witebski | Wiesława Oleś, dyrektorka szkoły | Maciej Solejuk | Patryk Pietrek | Celina Hadziukowa | Księgowa Leokadia Czerepach / Księgowa Leokadia Paciorek | Barmanka Wioletka Kotecka | Halina Kozioł, żona wójta | Kasia Solejuk | Ksiądz Wikary Robert | Dorota Wezółowa"
"39",3,39,"Szczęśliwe rozwiązanie",8.8,514,47,"Lucy Wilska | Wójt Paweł Kozioł / Ksiądz Piotr Kozioł | Jakub ""Kusy"" Sokołowski | Michałowa, gospodyni księdza | Stacho Japycz, mąż Michałowej | Celina Hadziukowa | Księgowa Leokadia Czerepach / Księgowa Leokadia Paciorek | Wiesława Oleś, dyrektorka szkoły | Maciej Solejuk | Tadeusz Hadziuk | Patryk Pietrek | Polonista Tomasz Witebski | Halina Kozioł, żona wójta | Jola Pietrek | Fabian Duda | Andrzej Więcławski | Barmanka Wioletka Kotecka | Policjant Stasiek Kotecki | Doktor Mieczysław Wezół | Klaudia Kozioł, córka senatora | Kazimiera Solejukowa | Zofia Steć, babka zielarka | Dorota Wezółowa | Krystyna Więcławska | Ksiądz Wikary Robert"
"40",4,40,"Szok poporodowy",8.5,515,49,"Lucy Wilska | Wójt Paweł Kozioł / Ksiądz Piotr Kozioł | Jakub ""Kusy"" Sokołowski | Michałowa, gospodyni księdza | Stacho Japycz, mąż Michałowej | Doktor Mieczysław Wezół | Halina Kozioł, żona wójta | Klaudia Kozioł, córka senatora | Andrzej Więcławski | Wiesława Oleś, dyrektorka szkoły | Patryk Pietrek | Maciej Solejuk | Tadeusz Hadziuk | Dorotka, córka Lucy i ""Kusego"" | Dorota Wezółowa | Ksiądz Wikary Robert | Krystyna Więcławska"
